"DAT","AMT","SRC","TYP","NUM","NAM","DSC",,"BRK_ADR_TEL"
6/26/20,79,"SS","SELL",4,"United Finance","&ne;",,"SASC_702-Third-Avenue_Main-3337"
6/30/20,80,"SS","SELL",4,"United Finance","8% pfd.",,"SASC_702-Third-Ave._Main-3337"
7/13/20,79,"SS","BUY","&empty;","United Finance","&ne;",,"SASC_702-Third-Ave._Main-3337"
8/12/20,79,"SS","BUY","&empty;","United Finance","(stocks or contracts)",,"SASC_702-Third-Ave._Main-3337"
8/28/20,79,"SS","BUY","&empty;","United Finance","&ne;",,"SASC_702-Third-Ave._Main-3337"
8/31/20,79,"SS-A","BUY","&empty;","United Finance","&ne;",,"SASC_702-Third-Ave._Main-3337"
8/31/20,"$92.00 ","SS-B","SELL",2,"United Finance","pfd.",,"SASC_702-Third-Ave._Main-3337"
9/9/20,"$90.00 ","SS","SELL",2,"United Finance","pfd.",,"SASC_702-Third-Ave._Main-3337"
9/25/20,89,"SS","BUY",4,"United Finance","pfd.",,"SASC_702-Third-Ave._Main-3337"
9/28/20,89,"SS-A","SELL",10,"United Finance","pfd.",,"SASC_702-Third-Ave._Main-3337"
9/28/20,89,"SS-B","SELL",4,"United Finance","pfd.",,"SASC_702-Third-Ave._Main-3337"
9/30/20,"$120.00 ","TLT","SELL",4,"United Finance","pfg. &amp; So. at",,"SASC_702-Third-Ave._Main-3337"
10/2/20,119,"SS-A","BUY","&empty; ","United Finance","(1st or 2d issue)",,"SASC_702-Third-Ave._Main-3337"
10/2/20,120,"SS-B","SELL","&empty; ","United Finance","1 pfd., 1 com.",,"SASC_702-Third-Ave._Main-3337"
10/7/20,"$120.00 ","TLT","SELL",4,"United Finance","pfg. &amp; So.",,"SASC_702-Third-Ave._Main-3337"
10/14/20,119,"TLT","SELL","&empty;","United Finance","contracts",,"SASC_702-Third-Ave._Main-3337"
10/21/20,"$240.00 ","SS-A","BUY",2,"United Finance","pfd., 2 com.",,"SASC_702-Third-Ave._Main-3337"
10/21/20,239,"SS-B","BUY",8,"United Finance","pfd., 6 com.",,"SASC_702-Third-Ave._Main-3337"
10/12/20,"$250 ","TLT-A","SELL",2,"United Finance","Pref.",,"SASC_702-Third-Ave._Main-3337"
10/12/20,"$250 ","TLT-B","SELL",2,"United Finance","Com.",,"SASC_702-Third-Ave._Main-3337"
10/12/20,"$250 ","TLT-C","SELL",4,"United Finance","2nd Com.",,"SASC_702-Third-Ave._Main-3337"
12/4/20,249,"SS-A","SELL",2,"United Finance","pfd.",,"SASC_702-Third-Ave._Main-3337"
