"United Finance Company OFFERS DATA - GENERATED [06/26/2019] from UFC_adv.html",,,,,,,
,,,,,,,
"DAT","SRC","TYP","NUM","NAM","DSC","AMT","BRK_ADR_TEL"
6/26/20,"SS","SELL",4,"United Finance","&ne;","Bid","SASC_702-Third-Avenue_Main-3337"
6/30/20,"SS","SELL",4,"United Finance","8% pfd.",80,"SASC_702-Third-Ave._Main-3337"
7/13/20,"SS","BUY","&empty;","United Finance","&ne;","&sub;","SASC_702-Third-Ave._Main-3337"
8/12/20,"SS","BUY","&empty;","United Finance","(stocks or contracts)","&sub;","SASC_702-Third-Ave._Main-3337"
8/28/20,"SS","BUY","&empty;","United Finance","&ne;","&sub;","SASC_702-Third-Ave._Main-3337"
8/31/20,"SS-A","BUY","&empty;","United Finance","&ne;","&sub;","SASC_702-Third-Ave._Main-3337"
8/31/20,"SS-B","SELL",2,"United Finance","pfd.","$92.00 ","SASC_702-Third-Ave._Main-3337"
9/9/20,"SS","SELL",2,"United Finance","pfd.","$90.00 ","SASC_702-Third-Ave._Main-3337"
9/25/20,"SS","BUY",4,"United Finance","pfd.","20 com.","SASC_702-Third-Ave._Main-3337"
9/28/20,"SS-A","SELL",10,"United Finance","pfd.","BID AT FAIR MARKET 20 com.","SASC_702-Third-Ave._Main-3337"
9/28/20,"SS-B","SELL",4,"United Finance","pfd.","BID AT FAIR MARKET4 com.","SASC_702-Third-Ave._Main-3337"
9/30/20,"TLT","SELL",4,"United Finance","pfg. &amp; So. at","$120.00 ","SASC_702-Third-Ave._Main-3337"
10/2/20,"SS-A","BUY","&empty; ","United Finance","(1st or 2d issue)","&sub;","SASC_702-Third-Ave._Main-3337"
10/2/20,"SS-B","SELL","&empty; ","United Finance","1 pfd., 1 com.",120,"SASC_702-Third-Ave._Main-3337"
10/7/20,"TLT","SELL",4,"United Finance","pfg. &amp; So.","$120.00 ","SASC_702-Third-Ave._Main-3337"
10/14/20,"TLT","SELL","&empty;","United Finance","contracts","&sub;","SASC_702-Third-Ave._Main-3337"
10/21/20,"SS-A","BUY",2,"United Finance","pfd., 2 com.","$240.00 ","SASC_702-Third-Ave._Main-3337"
10/21/20,"SS-B","BUY",8,"United Finance","pfd., 6 com.","$950.00 (Balance on Contract $680)","SASC_702-Third-Ave._Main-3337"
10/12/20,"TLT-A","SELL",2,"United Finance","Pref.","$250 ","SASC_702-Third-Ave._Main-3337"
10/12/20,"TLT-B","SELL",2,"United Finance","Com.","$250 ","SASC_702-Third-Ave._Main-3337"
